winner,loser,ace1,ace2,double1,double2,winner1,winner2,error1,error2
"Roger Federer","Novak Djokovic",12,7,1,2,51,17,26,33
"Roger Federer","Andy Murray",21,19,2,5,100,70,84,82
"Roger Federer","Andy Roddick",26,12,2,4,96,49,27,36
"Roger Federer","Stanislas Wawrinka",5,1,0,0,29,21,24,30
"Roger Federer","Jo-Wilfried Tsonga",17,34,4,7,125,116,81,116
"Roger Federer","Marcos Baghdatis",20,10,6,3,86,59,71,73
"Roger Federer","Tomas Berdych",31,15,6,6,106,90,57,69
"Novak Djokovic","Roger Federer",19,15,11,2,79,73,67,76
"Novak Djokovic","Rafael Nadal",9,10,2,4,57,44,69,71
"Novak Djokovic","Andy Murray",25,22,9,19,122,97,163,179
"Novak Djokovic","Stanislas Wawrinka",7,16,5,2,51,69,66,93
"Novak Djokovic","Jo-Wilfried Tsonga",11,15,2,2,46,44,35,41
"Novak Djokovic","Marcos Baghdatis",3,12,3,2,36,37,49,53
"Novak Djokovic","Tomas Berdych",20,13,3,10,81,60,46,75
"Novak Djokovic","David Ferrer",16,7,3,8,99,52,87,101
"Rafael Nadal","Roger Federer",11,30,6,12,114,151,100,177
"Rafael Nadal","Andy Murray",5,15,1,9,53,64,32,67
"Rafael Nadal","Stanislas Wawrinka",1,4,3,2,21,25,19,32
"Rafael Nadal","Tomas Berdych",6,17,2,5,57,66,30,56
"Andy Murray","Roger Federer",21,5,0,2,62,43,47,60
"Andy Murray","Rafael Nadal",13,1,1,1,38,23,25,26
"Andy Murray","David Ferrer",9,5,3,2,60,34,63,34
"Andy Roddick","Novak Djokovic",16,8,5,5,43,43,14,39
"Andy Roddick","Jo-Wilfried Tsonga",13,16,2,5,41,62,25,46
"Stanislas Wawrinka","Novak Djokovic",17,7,5,1,51,45,60,60
"Stanislas Wawrinka","Rafael Nadal",19,1,2,3,53,19,49,32
"Stanislas Wawrinka","Andy Roddick",24,9,2,4,67,24,19,19
"Stanislas Wawrinka","Marcos Baghdatis",4,1,5,8,41,19,67,59
"Stanislas Wawrinka","Tomas Berdych",18,21,4,7,57,60,49,49
"Jo-Wilfried Tsonga","Novak Djokovic",19,2,2,9,54,41,55,55
"Jo-Wilfried Tsonga","Rafael Nadal",17,2,1,1,49,13,27,12
"Jo-Wilfried Tsonga","Andy Murray",7,7,6,3,57,38,61,27
"Marcos Baghdatis","Andy Roddick",16,15,1,4,63,39,26,31
"Marcos Baghdatis","David Ferrer",11,1,1,0,56,47,67,72
"Tomas Berdych","Stanislas Wawrinka",9,9,3,2,49,39,46,49
"Tomas Berdych","David Ferrer",10,2,4,1,43,30,62,46
"David Ferrer","Rafael Nadal",8,2,2,1,44,19,32,34
"David Ferrer","Marcos Baghdatis",5,4,1,1,25,16,30,42
