winner,loser,match
"Roger Federer","Roger Federer",0
"Roger Federer","Novak Djokovic",1
"Roger Federer","Rafael Nadal",0
"Roger Federer","Andy Murray",2
"Roger Federer","Andy Roddick",2
"Roger Federer","Stanislas Wawrinka",1
"Roger Federer","Jo-Wilfried Tsonga",3
"Roger Federer","Marcos Baghdatis",2
"Roger Federer","Tomas Berdych",2
"Roger Federer","David Ferrer",0
"Novak Djokovic","Novak Djokovic",0
"Novak Djokovic","Roger Federer",2
"Novak Djokovic","Rafael Nadal",1
"Novak Djokovic","Andy Murray",3
"Novak Djokovic","Andy Roddick",0
"Novak Djokovic","Stanislas Wawrinka",1
"Novak Djokovic","Jo-Wilfried Tsonga",1
"Novak Djokovic","Marcos Baghdatis",1
"Novak Djokovic","Tomas Berdych",2
"Novak Djokovic","David Ferrer",3
"Rafael Nadal","Rafael Nadal",0
"Rafael Nadal","Roger Federer",3
"Rafael Nadal","Novak Djokovic",0
"Rafael Nadal","Andy Murray",1
"Rafael Nadal","Andy Roddick",0
"Rafael Nadal","Stanislas Wawrinka",1
"Rafael Nadal","Jo-Wilfried Tsonga",0
"Rafael Nadal","Marcos Baghdatis",0
"Rafael Nadal","Tomas Berdych",1
"Rafael Nadal","David Ferrer",0
"Andy Murray","Andy Murray",0
"Andy Murray","Roger Federer",1
"Andy Murray","Novak Djokovic",0
"Andy Murray","Rafael Nadal",1
"Andy Murray","Andy Roddick",0
"Andy Murray","Stanislas Wawrinka",0
"Andy Murray","Jo-Wilfried Tsonga",0
"Andy Murray","Marcos Baghdatis",0
"Andy Murray","Tomas Berdych",0
"Andy Murray","David Ferrer",1
"Andy Roddick","Andy Roddick",0
"Andy Roddick","Roger Federer",0
"Andy Roddick","Novak Djokovic",1
"Andy Roddick","Rafael Nadal",0
"Andy Roddick","Andy Murray",0
"Andy Roddick","Stanislas Wawrinka",0
"Andy Roddick","Jo-Wilfried Tsonga",1
"Andy Roddick","Marcos Baghdatis",0
"Andy Roddick","Tomas Berdych",0
"Andy Roddick","David Ferrer",0
"Stanislas Wawrinka","Stanislas Wawrinka",0
"Stanislas Wawrinka","Roger Federer",0
"Stanislas Wawrinka","Novak Djokovic",1
"Stanislas Wawrinka","Rafael Nadal",1
"Stanislas Wawrinka","Andy Murray",0
"Stanislas Wawrinka","Andy Roddick",1
"Stanislas Wawrinka","Jo-Wilfried Tsonga",0
"Stanislas Wawrinka","Marcos Baghdatis",1
"Stanislas Wawrinka","Tomas Berdych",1
"Stanislas Wawrinka","David Ferrer",0
"Jo-Wilfried Tsonga","Jo-Wilfried Tsonga",0
"Jo-Wilfried Tsonga","Roger Federer",0
"Jo-Wilfried Tsonga","Novak Djokovic",1
"Jo-Wilfried Tsonga","Rafael Nadal",1
"Jo-Wilfried Tsonga","Andy Murray",1
"Jo-Wilfried Tsonga","Andy Roddick",0
"Jo-Wilfried Tsonga","Stanislas Wawrinka",0
"Jo-Wilfried Tsonga","Marcos Baghdatis",0
"Jo-Wilfried Tsonga","Tomas Berdych",0
"Jo-Wilfried Tsonga","David Ferrer",0
"Marcos Baghdatis","Marcos Baghdatis",0
"Marcos Baghdatis","Roger Federer",0
"Marcos Baghdatis","Novak Djokovic",0
"Marcos Baghdatis","Rafael Nadal",0
"Marcos Baghdatis","Andy Murray",0
"Marcos Baghdatis","Andy Roddick",1
"Marcos Baghdatis","Stanislas Wawrinka",0
"Marcos Baghdatis","Jo-Wilfried Tsonga",0
"Marcos Baghdatis","Tomas Berdych",0
"Marcos Baghdatis","David Ferrer",1
"Tomas Berdych","Tomas Berdych",0
"Tomas Berdych","Roger Federer",0
"Tomas Berdych","Novak Djokovic",0
"Tomas Berdych","Rafael Nadal",0
"Tomas Berdych","Andy Murray",0
"Tomas Berdych","Andy Roddick",0
"Tomas Berdych","Stanislas Wawrinka",1
"Tomas Berdych","Jo-Wilfried Tsonga",0
"Tomas Berdych","Marcos Baghdatis",0
"Tomas Berdych","David Ferrer",1
"David Ferrer","David Ferrer",0
"David Ferrer","Roger Federer",0
"David Ferrer","Novak Djokovic",0
"David Ferrer","Rafael Nadal",1
"David Ferrer","Andy Murray",0
"David Ferrer","Andy Roddick",0
"David Ferrer","Stanislas Wawrinka",0
"David Ferrer","Jo-Wilfried Tsonga",0
"David Ferrer","Marcos Baghdatis",1
"David Ferrer","Tomas Berdych",0
