player,win,lose,ace1,ace2,double1,double2,winner1,winner2,error1,error2,title
"Roger Federer",63,7,678,439,153,199,3014,1904,2146,2255,4
"Novak Djokovic",43,6,31+352,67+238,31+106,21+157,198+1507,243+1043,285+1250,196+1658,4
"Rafael Nadal",41,8,192+23,304+103,91+17,148+16,1334+210,1320+372,913+281,1733+316,1
"Andy Murray",33,9,278+77,136+69,59+40,110+25,1092+349,881+403,799+438,1293+412,0
"Andy Roddick",32,9,109+501,130+273,26+56,26+133,303+1176,438+1104,225+585,264+1102,0
"Stanislas Wawrinka",22,8,239+64,97+42,76+21,83+19,824+254,501+242,710+354,710+283,1
"Jo-Wilfried Tsonga",27,8,370+93,148+58,61+28,104+19,1228+358,756+323,874+371,854+226,0
"Marcos Baghdatis",22,10,78+232,69+157,30+72,31+87,297+979,311+772,476+833,363+1082,0
"Tomas Berdych",29,11,305+95,211+102,92+54,127+34,1019+379,719+429,783+452,1024+302,0
"David Ferrer",32,11,26+138,79+128,30+74,25+126,332+965,427+912,495+913,474+1625,0
